05/12/24 18:37	0.0
05/12/24 18:37	0.0
05/12/24 18:38	0.0
05/12/24 18:38	0.0
05/12/24 18:38	0.0
05/12/24 18:40	75.0
05/12/24 18:40	75.0
05/12/24 18:40	75.0
05/12/24 18:40	75.0
05/12/24 18:40	54.0
05/12/24 18:45	0.0
05/12/24 18:45	49.0
05/12/24 18:45	50.0
05/12/24 18:45	50.0
05/12/24 18:45	47.0
05/12/24 18:45	52.0
05/12/24 18:46	54.0
05/12/24 18:46	54.0
05/12/24 18:46	50.0
05/12/24 18:46	50.0
05/13/24 21:05	1.0
05/13/24 21:06	1.0
05/13/24 21:07	1.0
05/14/24 11:32	1.0
05/14/24 11:32	0.0
05/14/24 11:33	0.0
05/14/24 11:34	0.0
05/14/24 11:34	0.0
05/14/24 11:35	1.0
05/14/24 11:35	1.0
05/14/24 11:36	0.0
05/14/24 11:36	1.0
05/14/24 11:37	0.0
05/14/24 11:37	0.0
05/14/24 11:38	0.0
05/14/24 11:38	0.0
05/14/24 11:39	0.0
05/14/24 11:39	0.0
05/14/24 11:40	0.0
05/14/24 11:40	1.0
05/14/24 11:41	0.0
05/14/24 11:41	0.0
05/14/24 11:42	0.0
